,username,end_time,white_username,black_username,Result,StartTime
0,tianminlyu,05:50:15,Aakarsh-IND,tianminlyu,0-1,05:48:14
1,tianminlyu,11:36:40,dragomirradin,tianminlyu,1/2-1/2,11:26:14
2,tianminlyu,22:29:39,nuove,tianminlyu,0-1,22:09:23
3,tianminlyu,22:37:50,tianminlyu,nila26,0-1,22:30:31
4,tianminlyu,22:28:36,JammyRedRoo,tianminlyu,0-1,22:08:46
5,tianminlyu,22:48:06,Rrustemii,tianminlyu,0-1,22:40:49
6,tianminlyu,22:35:25,tianminlyu,thakertoo,1-0,22:15:28
7,tianminlyu,15:04:37,claraqiu,tianminlyu,1-0,15:03:47
8,tianminlyu,15:06:47,tianminlyu,ryanxuef,0-1,15:06:47
9,tianminlyu,15:06:52,tianminlyu,xiaoanwu,0-1,15:05:50
10,tianminlyu,15:07:01,EmmaXLi,tianminlyu,1-0,15:07:00
11,tianminlyu,15:07:01,REBECCAFENG,tianminlyu,1-0,15:07:00
12,tianminlyu,15:07:20,claraqiu,tianminlyu,1-0,15:07:19
13,tianminlyu,15:08:51,tianminlyu,secretscore102467,1-0,15:01:41
14,tianminlyu,15:09:07,ryanxuef,tianminlyu,1-0,15:09:06
15,tianminlyu,15:09:07,REBECCAFENG,tianminlyu,1-0,15:09:06
16,tianminlyu,15:10:31,tianminlyu,AGcuber19,1-0,15:01:27
17,tianminlyu,15:10:43,claraqiu,tianminlyu,1-0,15:10:42
18,tianminlyu,15:10:59,ryanxuef,tianminlyu,1-0,15:10:58
19,tianminlyu,15:11:55,REBECCAFENG,tianminlyu,1-0,15:11:54
20,tianminlyu,15:12:25,claraqiu,tianminlyu,1-0,15:12:24
21,tianminlyu,15:12:42,ryanxuef,tianminlyu,1-0,15:12:41
22,tianminlyu,15:16:32,akfunchess66,tianminlyu,0-1,15:02:43
23,tianminlyu,15:19:29,REBECCAFENG,tianminlyu,1-0,15:18:05
24,tianminlyu,15:19:32,EEcao,tianminlyu,1-0,15:19:31
25,tianminlyu,15:20:01,secretscore102467,tianminlyu,1-0,15:18:58
26,tianminlyu,15:25:29,xiaoanwu,tianminlyu,0-1,15:06:49
27,tianminlyu,15:25:38,ryanxuef,tianminlyu,0-1,15:17:21
28,tianminlyu,15:27:05,tianminlyu,claraqiu,1-0,15:13:28
29,tianminlyu,15:30:37,EmmaXLi,tianminlyu,1-0,15:09:15
30,tianminlyu,15:31:02,tianminlyu,REBECCAFENG,0-1,15:21:39
31,tianminlyu,15:44:09,tianminlyu,EEcao,1-0,15:22:33
32,tianminlyu,16:00:08,EmmaXLi,tianminlyu,1-0,15:36:19
33,tianminlyu,16:21:07,tianminlyu,Kexin9918,1-0,16:16:31
34,tianminlyu,16:21:45,tianminlyu,Justin122115,1-0,16:18:19
35,tianminlyu,16:30:04,augustinewz,tianminlyu,0-1,16:18:36
36,tianminlyu,16:31:29,brigittexie,tianminlyu,0-1,16:22:29
37,tianminlyu,16:33:47,tianminlyu,Marsboom,1-0,16:16:09
38,tianminlyu,16:35:20,yaohengli,tianminlyu,0-1,16:17:08
39,tianminlyu,17:12:27,tianminlyu,ChenlinZhao,1-0,17:02:17
