,player,AGcuber19,BurleyWalrus,EmmaXLi,Marsboom,Ravenclawfairy,TLPAWN,akfunchess66,claraqiu,xiaoanwu,zora_zhu
0,AGcuber19,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,
1,BurleyWalrus,0.0,,1.0,0.0,1.0,,,1.0,1.0,
2,EmmaXLi,0.0,0.0,,,1.0,1.0,,1.0,1.0,1.0
3,Marsboom,0.0,1.0,,,1.0,1.0,0.0,1.0,,1.0
4,Ravenclawfairy,,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0
5,TLPAWN,0.0,,0.0,0.0,,,1.0,,1.0,1.0
6,akfunchess66,1.0,,,1.0,1.0,0.0,,1.0,1.0,1.0
7,claraqiu,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
8,xiaoanwu,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0
9,zora_zhu,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
