,class,username
0,Teacher,tianminlyu
1,BO,AGcuber19
2,BO,TLPAWN
3,BO,xiaoanwu
4,BO,EmmaXLi
5,BO,akfunchess66
6,BO,Marsboom
7,BO,Claraqiu
8,BO,Ravenclawfairy
9,BO,Zora_zhu
10,BO,BurleyWalrus
11,BP,taionemm
12,BP,augustinewz
13,BP,oscarzhang818
14,BP,yaohengli
15,BP,Wallacewang1214
16,BP,SophiaZ2022
17,BP,AliceCLi
18,BP,yumitang
19,BP,james2945
20,BP,Oinkoinkw
21,AN,Cathye1
22,AN,lunathekitsune
23,AN,ArthurRocket
24,AN,vivianwwww20
25,AN,ChloeWang16
26,AN,Tyzalex
27,AN,ZhichengW
28,AN,Haochen1123
29,AN,jaydenlan0118
30,AN,ImRacoonie
